date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-01,Bến Tre,31246,50202,79994,"40150, 86548","08559, 80928, 12321, 06726, 52837, 33295, 41127",2577,"1763, 3031, 1443",737,86
2008-01-01,Vũng Tàu,85823,86043,57537,"96310, 04514","32126, 81892, 15953, 85174, 10496, 72587, 10726",0556,"4342, 3551, 8746",839,29
2008-01-02,Bến Tre,31246,50202,79994,"40150, 86548","08559, 80928, 12321, 06726, 52837, 33295, 41127",2577,"1763, 3031, 1443",737,86
2008-01-02,Cần Thơ,28975,30301,19983,"67832, 45279","89813, 10759, 35741, 77760, 49229, 81550, 98844",6858,"1002, 8377, 3055",091,21
2008-01-02,Sóc Trăng,98252,11900,87391,"04811, 91435","41348, 66712, 20998, 58048, 63797, 65828, 02936",5065,"1516, 0645, 8671",121,33
2008-01-02,Vũng Tàu,85823,86043,57537,"96310, 04514","32126, 81892, 15953, 85174, 10496, 72587, 10726",0556,"4342, 3551, 8746",839,29
2008-01-02,Đồng Tháp,56306,71388,28593,"61726, 10029","71321, 49943, 57543, 43903, 11117, 95748, 55317",0810,"2477, 2973, 0511",859,93
2008-01-03,An Giang,69829,27850,72622,"20925, 50597","16568, 91261, 71993, 44379, 79271, 57214, 91543",3799,"1160, 2207, 8297",749,94
2008-01-03,Bình Thuận,84852,53465,20593,"11228, 95938","40038, 89671, 13246, 06486, 62971, 90041, 84803",2702,"4894, 4899, 3461",782,88
2008-01-03,Cần Thơ,28975,30301,19983,"67832, 45279","89813, 10759, 35741, 77760, 49229, 81550, 98844",6858,"1002, 8377, 3055",091,21
2008-01-03,Sóc Trăng,98252,11900,87391,"04811, 91435","41348, 66712, 20998, 58048, 63797, 65828, 02936",5065,"1516, 0645, 8671",121,33
2008-01-03,Tiền Giang,46926,79828,92671,"34919, 35785","94087, 33033, 59692, 10517, 97288, 68064, 72824",7190,"2991, 1336, 4115",171,37
2008-01-03,Đồng Tháp,56306,71388,28593,"61726, 10029","71321, 49943, 57543, 43903, 11117, 95748, 55317",0810,"2477, 2973, 0511",859,93
2008-01-04,An Giang,69829,27850,72622,"20925, 50597","16568, 91261, 71993, 44379, 79271, 57214, 91543",3799,"1160, 2207, 8297",749,94
2008-01-04,Bình Thuận,84852,53465,20593,"11228, 95938","40038, 89671, 13246, 06486, 62971, 90041, 84803",2702,"4894, 4899, 3461",782,88
2008-01-04,Bến Tre,42246,77231,79571,"38603, 01394","06024, 87711, 06080, 34098, 09618, 52518, 00797",7584,"9742, 3116, 3591",282,68
2008-01-04,Tiền Giang,46926,79828,92671,"34919, 35785","94087, 33033, 59692, 10517, 97288, 68064, 72824",7190,"2991, 1336, 4115",171,37
2008-01-04,Trà Vinh,48379,39054,53306,"82756, 22672","14569, 05340, 31281, 29670, 46824, 26552, 77754",8515,"2976, 4781, 2666",965,88
2008-01-04,Vĩnh Long,86318,51796,05635,"26587, 68621","06094, 43964, 94592, 37132, 01500, 42618, 35408",0540,"1946, 1724, 5989",097,35
2008-01-05,Bình Phước,01509,67736,21212,"23300, 96870","23420, 49046, 06584, 32588, 84305, 27232, 53622",5780,"6138, 9171, 0055",629,22
2008-01-05,Bến Tre,42246,77231,79571,"38603, 01394","06024, 87711, 06080, 34098, 09618, 52518, 00797",7584,"9742, 3116, 3591",282,68
2008-01-05,Hồ Chí Minh,35467,80370,42793,"15513, 92943","91905, 70754, 23284, 32450, 11963, 24058, 25135",7310,"9965, 6909, 0806",612,85
2008-01-05,Long An,80246,54858,83433,"77578, 97023","42675, 09274, 94338, 95597, 33377, 59982, 97350",3307,"8424, 6272, 4758",199,87
2008-01-05,Trà Vinh,48379,39054,53306,"82756, 22672","14569, 05340, 31281, 29670, 46824, 26552, 77754",8515,"2976, 4781, 2666",965,88
2008-01-05,Vĩnh Long,86318,51796,05635,"26587, 68621","06094, 43964, 94592, 37132, 01500, 42618, 35408",0540,"1946, 1724, 5989",097,35
2008-01-06,06/01/2008,15320,42320,45096,"56934, 91290","36130, 80586, 32955, 50168, 12498, 20118, 49281",2857,"4940, 5732, 9894",269,26
2008-01-06,Bình Phước,01509,67736,21212,"23300, 96870","23420, 49046, 06584, 32588, 84305, 27232, 53622",5780,"6138, 9171, 0055",629,22
2008-01-06,Hồ Chí Minh,35467,80370,42793,"15513, 92943","91905, 70754, 23284, 32450, 11963, 24058, 25135",7310,"9965, 6909, 0806",612,85
2008-01-06,Long An,80246,54858,83433,"77578, 97023","42675, 09274, 94338, 95597, 33377, 59982, 97350",3307,"8424, 6272, 4758",199,87
2008-01-06,Tiền Giang,03560,56724,94792,"49163, 71099","78852, 05021, 60389, 14448, 30605, 21081, 38271",9293,"0371, 2283, 2967",394,52
2008-01-06,Đồng Tháp,97108,12914,65660,"80409, 08207","50729, 50551, 61305, 07225, 78049, 32359, 92742",1873,"7221, 6054, 6710",298,30
2008-01-07,06/01/2008,15320,42320,45096,"56934, 91290","36130, 80586, 32955, 50168, 12498, 20118, 49281",2857,"4940, 5732, 9894",269,26
2008-01-07,Cà Mau,52201,35165,54601,"08155, 23209","47682, 51668, 03621, 71357, 10379, 76633, 09023",1475,"9014, 4346, 2776",817,31
